latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
34.60257,37.8723,320.06,2.03,1.39,2025-04-16,0744,Terra,MODIS,75,6.1NRT,298.75,34.28,D
35.62683,36.07553,326.68,1,1,2025-04-18,1149,Aqua,MODIS,70,6.1NRT,302.93,19,D
36.07467,37.67831,334.48,1.05,1.02,2025-04-18,1149,Aqua,MODIS,81,6.1NRT,310.65,24.64,D
35.03992,36.32436,306.86,2.01,1.38,2025-04-19,1906,Terra,MODIS,69,6.1NRT,288.16,25.68,N
36.94503,42.13113,303.47,1.03,1.02,2025-04-20,1809,Terra,MODIS,55,6.1NRT,289.62,6.28,N
34.9947,36.74673,321.61,1.54,1.22,2025-04-25,1128,Aqua,MODIS,66,6.1NRT,307.58,16.53,D
34.35804,36.78756,316.54,1.58,1.24,2025-04-25,1128,Aqua,MODIS,49,6.1NRT,300.3,11.42,D
36.19893,37.23006,320.69,1.37,1.16,2025-04-25,1128,Aqua,MODIS,70,6.1NRT,304.51,13.25,D
36.49141,36.67763,330.4,1,1,2025-04-28,1145,Aqua,MODIS,74,6.1NRT,308.9,16.07,D
37.16149,41.96876,333.19,1,1,2025-04-30,1125,Aqua,MODIS,79,6.1NRT,319.37,11.69,D
34.36475,36.7909,324.5,1.15,1.07,2025-05-08,0729,Terra,MODIS,51,6.1NRT,308.42,10.3,D
35.00247,36.75272,326.47,1.13,1.06,2025-05-08,0729,Terra,MODIS,44,6.1NRT,312.91,9.4,D
33.62332,36.60349,321.73,1.16,1.07,2025-05-08,0729,Terra,MODIS,61,6.1NRT,308.03,5.86,D
35.7354,36.04717,310.95,1.05,1.02,2025-05-08,1832,Terra,MODIS,81,6.1NRT,289.75,11.69,N
35.73763,36.04531,324.43,1.19,1.08,2025-05-10,0712,Terra,MODIS,50,6.1NRT,305.58,18.71,D
35.73616,36.05779,327.21,1.19,1.08,2025-05-10,0712,Terra,MODIS,64,6.1NRT,304.19,22.53,D
35.73479,36.06179,321.83,2.07,1.4,2025-05-10,1121,Aqua,MODIS,56,6.1NRT,299.85,38.58,D
35.73041,36.04122,320.04,2.08,1.4,2025-05-10,1121,Aqua,MODIS,40,6.1NRT,300.32,33.07,D
35.74689,36.05849,371.58,2.07,1.4,2025-05-10,1121,Aqua,MODIS,100,6.1NRT,299.91,331.79,D
35.74243,36.03745,341.15,2.08,1.4,2025-05-10,1121,Aqua,MODIS,88,6.1NRT,300.16,110.45,D
36.93521,42.13211,303.87,1,1,2025-05-10,1811,Terra,MODIS,57,6.1NRT,292.13,4.15,N
36.94394,42.1302,304.27,1,1,2025-05-10,1811,Terra,MODIS,59,6.1NRT,292.98,4.48,N
35.45956,36.2072,307.96,3.62,1.78,2025-05-12,1754,Terra,MODIS,22,6.1NRT,280.06,46.03,N
35.47276,36.26296,317.73,3.57,1.77,2025-05-12,1754,Terra,MODIS,69,6.1NRT,289.77,95.75,N
35.46598,36.23432,355.88,3.6,1.78,2025-05-12,1754,Terra,MODIS,100,6.1NRT,292.05,481.83,N
35.48131,36.23011,308.97,3.6,1.78,2025-05-12,1754,Terra,MODIS,35,6.1NRT,286.84,56.3,N
35.46805,36.25806,319.76,3.57,1.77,2025-05-12,1754,Terra,MODIS,65,6.1NRT,290.47,108.9,N
35.46132,36.2303,331.01,3.6,1.78,2025-05-12,1754,Terra,MODIS,100,6.1NRT,289.83,188.32,N
35.48316,36.25303,333.6,3.57,1.77,2025-05-12,1754,Terra,MODIS,100,6.1NRT,290,215.61,N
35.47697,36.22739,357.1,3.6,1.78,2025-05-12,1754,Terra,MODIS,100,6.1NRT,289.13,504.72,N
36.14153,37.14085,302.97,1.44,1.19,2025-05-15,1813,Terra,MODIS,52,6.1NRT,288.78,10.37,N
35.02261,36.36614,332.95,1.03,1.01,2025-05-21,1157,Aqua,MODIS,70,6.1NRT,317.04,13.5,D
35.07985,40.59397,310.15,1.34,1.15,2025-05-28,1834,Terra,MODIS,79,6.1NRT,296.3,12.48,N
36.50185,38.95795,325.22,1.01,1.01,2025-05-30,0714,Terra,MODIS,71,6.1NRT,308.75,10.92,D
35.65191,35.99814,346.29,1,1,2025-05-31,1151,Aqua,MODIS,85,6.1NRT,306.45,42.43,D
35.65033,35.98746,343.53,1,1,2025-05-31,1151,Aqua,MODIS,76,6.1NRT,307.86,37.46,D
37.00677,41.25842,335.83,1,1,2025-06-02,1132,Aqua,MODIS,76,6.1NRT,317.06,18.78,D
37.0052,41.24754,368.07,1,1,2025-06-02,1132,Aqua,MODIS,100,6.1NRT,318.71,91.66,D
36.33332,36.59497,301.68,1.01,1.01,2025-06-02,1836,Terra,MODIS,43,6.1NRT,290.49,4.5,N
36.33187,36.58404,315.79,1.01,1.01,2025-06-02,1836,Terra,MODIS,92,6.1NRT,290.55,14.3,N
34.88202,35.9897,344.71,1.02,1.01,2025-06-05,1149,Aqua,MODIS,88,6.1NRT,311.09,39.92,D
34.88035,35.97902,343.31,1.02,1.01,2025-06-05,1149,Aqua,MODIS,86,6.1NRT,311.32,37.25,D
35.78952,35.91777,351.56,1.01,1.01,2025-06-05,1149,Aqua,MODIS,94,6.1NRT,309.77,54.62,D
35.78786,35.90704,341.91,1.01,1.01,2025-06-05,1149,Aqua,MODIS,85,6.1NRT,311.41,35.23,D
36.75945,36.71616,335.74,1.46,1.2,2025-06-07,1130,Aqua,MODIS,87,6.1NRT,315.59,29.85,D
36.75666,36.70164,365.59,1.47,1.2,2025-06-07,1130,Aqua,MODIS,100,6.1NRT,317.66,145.86,D
36.76659,36.70603,304.22,1.03,1.02,2025-06-07,1836,Terra,MODIS,59,6.1NRT,293.14,4.48,N
36.94882,42.13068,304.69,1.06,1.03,2025-06-12,0026,Aqua,MODIS,28,6.1NRT,293.57,7.33,N
36.07706,37.96706,326.84,1.63,1.26,2025-06-12,0737,Terra,MODIS,54,6.1NRT,313.89,15.87,D
35.69061,36.12043,347.02,1.2,1.09,2025-06-13,1206,Aqua,MODIS,90,6.1NRT,305.23,60.4,D
35.5282,36.33209,344,1.01,1,2025-06-14,0716,Terra,MODIS,89,6.1NRT,316.3,31.83,D
35.53701,36.33388,328.19,1.01,1,2025-06-14,0716,Terra,MODIS,66,6.1NRT,315.83,8.68,D
35.47898,36.37653,309.36,1.29,1.13,2025-06-14,1819,Terra,MODIS,76,6.1NRT,296.68,10.04,N
36.65596,38.92693,332.95,1.02,1.01,2025-06-15,1147,Aqua,MODIS,36,6.1NRT,315.61,13.1,D
32.9148,35.87578,338.87,1.96,1.37,2025-06-16,1223,Aqua,MODIS,82,6.1NRT,311.65,64.5,D
32.9103,35.8634,309.58,3.18,1.69,2025-06-16,1758,Terra,MODIS,77,6.1NRT,293.05,47.81,N
36.67064,38.86194,317.36,1.65,1.26,2025-06-16,1758,Terra,MODIS,95,6.1NRT,292.23,30.71,N
36.67436,38.87313,303.52,1.64,1.26,2025-06-16,1758,Terra,MODIS,56,6.1NRT,292.6,10.9,N
36.67095,38.85555,310.15,1.65,1.26,2025-06-16,1758,Terra,MODIS,79,6.1NRT,291.83,19.7,N
36.9394,42.12587,301.15,1.03,1.01,2025-06-17,0024,Aqua,MODIS,33,6.1NRT,288.28,5.57,N
36.13948,37.54794,325.22,1.6,1.25,2025-06-17,0737,Terra,MODIS,65,6.1NRT,310.89,17.91,D
35.44554,36.14667,324.78,1.02,1.01,2025-06-17,1838,Terra,MODIS,100,6.1NRT,293.39,24.09,N
35.44412,36.13583,323.18,1.02,1.01,2025-06-17,1838,Terra,MODIS,100,6.1NRT,292.95,22.13,N
35.62947,36.06577,334.12,1.11,1.05,2025-06-18,1204,Aqua,MODIS,69,6.1NRT,311.14,24.89,D
36.14581,37.87129,341.14,1.02,1.01,2025-06-19,0716,Terra,MODIS,85,6.1NRT,319.12,26.58,D
36.11888,37.80817,331.91,1.02,1.01,2025-06-19,0716,Terra,MODIS,71,6.1NRT,317.4,12.26,D
35.9212,36.24746,338.81,1,1,2025-06-19,0716,Terra,MODIS,82,6.1NRT,310.27,30.14,D
35.91967,36.25833,343.38,1,1,2025-06-19,0716,Terra,MODIS,87,6.1NRT,310.6,37.79,D
36.12245,39.03898,311.62,1.01,1,2025-06-19,1819,Terra,MODIS,81,6.1NRT,296.65,8.94,N
35.97247,37.3984,313.84,1.11,1.05,2025-06-19,1819,Terra,MODIS,87,6.1NRT,298.02,12.01,N
36.12683,37.42783,306,1.1,1.05,2025-06-19,1819,Terra,MODIS,60,6.1NRT,295.83,5.41,N
36.9406,42.11765,308.46,1.12,1.06,2025-06-19,1819,Terra,MODIS,72,6.1NRT,296.82,7.65,N
35.75328,36.19259,364.41,1.13,1.06,2025-06-20,1145,Aqua,MODIS,100,6.1NRT,314.36,104.39,D
36.15055,38.90607,333.37,1,1,2025-06-20,1145,Aqua,MODIS,64,6.1NRT,319.18,10.39,D
35.75536,36.20506,392.88,1.13,1.06,2025-06-20,1145,Aqua,MODIS,100,6.1NRT,316.27,241.39,D
35.76446,36.20229,336.65,1.13,1.06,2025-06-20,1145,Aqua,MODIS,78,6.1NRT,310,30.93,D
35.76241,36.19001,331.15,1.13,1.06,2025-06-20,1145,Aqua,MODIS,65,6.1NRT,309.86,21.33,D
36.47514,36.85131,333.56,1.06,1.03,2025-06-20,1145,Aqua,MODIS,71,6.1NRT,319.07,13.37,D
36.73626,38.09869,333.79,1,1,2025-06-20,1145,Aqua,MODIS,57,6.1NRT,319.25,11.23,D
37.17162,42.33455,309.35,4.64,1.97,2025-06-20,1900,Terra,MODIS,76,6.1NRT,293.7,73.48,N
36.94011,42.12304,339.33,1,1,2025-06-21,0659,Terra,MODIS,79,6.1NRT,322.43,17.21,D
36.96441,40.34926,332,1.04,1.02,2025-06-21,0659,Terra,MODIS,54,6.1NRT,318.45,9.51,D
36.21041,38.97646,330.74,1.13,1.06,2025-06-21,0659,Terra,MODIS,70,6.1NRT,314.84,16.12,D
36.06432,37.37189,324.83,1.63,1.26,2025-06-22,0737,Terra,MODIS,51,6.1NRT,309.45,12.87,D
36.01648,38.74038,308.31,1.32,1.14,2025-06-22,1838,Terra,MODIS,68,6.1NRT,297.98,8.27,N
36.14549,39.01663,312.3,1,1,2025-06-24,1819,Terra,MODIS,85,6.1NRT,293.58,10.66,N
35.93799,38.78539,327.41,1.11,1.05,2025-06-26,0659,Terra,MODIS,38,6.1NRT,316.13,8.55,D
36.8354,40.37129,302.75,1.07,1.03,2025-06-27,0020,Aqua,MODIS,51,6.1NRT,291.26,6.09,N
36.04371,37.01755,327.08,1.62,1.25,2025-06-27,0739,Terra,MODIS,44,6.1NRT,313.69,13.02,D
36.12025,37.69848,330.09,1.78,1.31,2025-06-27,0739,Terra,MODIS,67,6.1NRT,318.36,18.5,D
36.05708,37.40989,335.25,2.02,1.38,2025-06-27,1121,Aqua,MODIS,70,6.1NRT,321.66,29.44,D
36.00777,39.17477,312.5,1.44,1.19,2025-06-27,1841,Terra,MODIS,79,6.1NRT,297.63,14.98,N
36.17529,38.91671,310.3,1.4,1.17,2025-06-27,1841,Terra,MODIS,71,6.1NRT,297.87,11.83,N
35.04269,36.31618,338.05,1.02,1.01,2025-06-28,1200,Aqua,MODIS,76,6.1NRT,308.64,27.42,D
35.04119,36.30523,389.54,1.02,1.01,2025-06-28,1200,Aqua,MODIS,100,6.1NRT,316.15,189.89,D
35.04998,36.30332,345.78,1.02,1.01,2025-06-28,1200,Aqua,MODIS,87,6.1NRT,311.73,42.84,D
36.40724,39.09358,309.8,2.97,1.64,2025-06-28,1741,Terra,MODIS,68,6.1NRT,299.27,26.94,N
35.04939,36.30554,303.96,1.2,1.09,2025-06-29,1819,Terra,MODIS,51,6.1NRT,292.78,6.41,N
35.49512,36.36837,306.95,1.17,1.08,2025-06-29,1819,Terra,MODIS,64,6.1NRT,295.66,7.21,N
35.69133,36.03828,327.72,1.34,1.15,2025-06-30,1138,Aqua,MODIS,61,6.1NRT,309.24,22.22,D
35.68125,36.03988,325.41,1.34,1.15,2025-06-30,1138,Aqua,MODIS,42,6.1NRT,310.84,17.12,D
35.67874,36.02614,366.55,1.34,1.15,2025-06-30,1138,Aqua,MODIS,100,6.1NRT,316.19,143.39,D
35.68872,36.02393,390.94,1.34,1.15,2025-06-30,1138,Aqua,MODIS,100,6.1NRT,312.53,294.86,D
35.73409,36.15384,321.57,1.31,1.14,2025-06-30,1138,Aqua,MODIS,63,6.1NRT,305.92,12.57,D
35.73153,36.14,337.84,1.32,1.14,2025-06-30,1138,Aqua,MODIS,88,6.1NRT,308.2,43.92,D
35.7412,36.13654,363.13,1.32,1.14,2025-06-30,1138,Aqua,MODIS,100,6.1NRT,310.93,124.24,D
35.73859,36.12241,331.05,1.32,1.14,2025-06-30,1138,Aqua,MODIS,84,6.1NRT,309.62,26.95,D
35.75769,36.05756,352.93,1.33,1.14,2025-06-30,1138,Aqua,MODIS,96,6.1NRT,310.01,88.69,D
34.50568,36.42311,303.65,1.93,1.36,2025-06-30,1900,Terra,MODIS,56,6.1NRT,292.53,13.54,N
34.51086,36.41579,307.84,1.93,1.36,2025-06-30,1900,Terra,MODIS,73,6.1NRT,292.31,19.39,N
34.50364,36.39995,301.69,1.93,1.36,2025-06-30,1900,Terra,MODIS,43,6.1NRT,290.96,11.31,N
36.93904,42.11646,310.24,1.05,1.02,2025-07-01,1802,Terra,MODIS,76,6.1NRT,297.31,7.72,N
36.11882,38.99728,325.26,2.23,1.45,2025-07-02,0739,Terra,MODIS,45,6.1NRT,311.43,22.29,D
33.55566,36.60358,324.88,1.81,1.32,2025-07-02,0739,Terra,MODIS,56,6.1NRT,312.31,12.59,D
35.27177,36.6026,306.41,1.1,1.05,2025-07-02,1838,Terra,MODIS,65,6.1NRT,296.24,5.25,N
35.27034,36.59082,307.08,1.1,1.05,2025-07-02,1838,Terra,MODIS,68,6.1NRT,296.31,5.6,N
35.55336,35.84206,343.02,1,1,2025-07-03,1157,Aqua,MODIS,87,6.1NRT,314.09,32.16,D
35.5518,35.83139,341.23,1,1,2025-07-03,1157,Aqua,MODIS,85,6.1NRT,313.95,28.87,D
35.81313,37.0966,349.27,1.04,1.02,2025-07-03,1157,Aqua,MODIS,92,6.1NRT,315.24,46.14,D
35.72993,36.17131,419.65,1,1,2025-07-03,1157,Aqua,MODIS,100,6.1NRT,316.34,382.75,D
35.72842,36.16068,384.68,1,1,2025-07-03,1157,Aqua,MODIS,100,6.1NRT,316.37,162.07,D
35.85329,36.05497,325.39,1,1,2025-07-03,1157,Aqua,MODIS,40,6.1NRT,312.02,10.7,D
33.53934,36.62156,368.98,1,1,2025-07-03,1157,Aqua,MODIS,100,6.1NRT,314.04,93.1,D
33.53785,36.61114,398.57,1,1,2025-07-03,1157,Aqua,MODIS,100,6.1NRT,319.32,225.44,D
33.54656,36.60932,356.38,1,1,2025-07-03,1157,Aqua,MODIS,97,6.1NRT,317.23,58.2,D
33.54506,36.5989,328.93,1,1,2025-07-03,1157,Aqua,MODIS,53,6.1NRT,314.18,8.26,D
35.81396,35.92216,322.33,4.68,1.98,2025-07-03,1741,Terra,MODIS,100,6.1NRT,293.8,183.7,N
35.81308,35.93059,327.59,4.68,1.98,2025-07-03,1741,Terra,MODIS,100,6.1NRT,293.88,238.6,N
35.81641,35.90516,321.06,4.03,1.86,2025-07-03,1919,Terra,MODIS,100,6.1NRT,292.49,133.23,N
35.80761,35.94381,313.94,4.05,1.87,2025-07-03,1919,Terra,MODIS,84,6.1NRT,292.09,90.42,N
35.8058,35.90122,311.14,4.03,1.86,2025-07-03,1919,Terra,MODIS,58,6.1NRT,291.97,71.4,N
35.81843,35.94651,317.52,4.05,1.87,2025-07-03,1919,Terra,MODIS,94,6.1NRT,292.11,111.43,N
35.82412,35.94094,308.22,4.05,1.87,2025-07-03,1919,Terra,MODIS,59,6.1NRT,291.7,63.63,N
35.82347,35.94277,304.76,4.25,1.91,2025-07-03,2356,Aqua,MODIS,61,6.1NRT,291.62,52.77,N
35.81737,35.93713,305.42,4.25,1.91,2025-07-03,2356,Aqua,MODIS,64,6.1NRT,291.45,60,N
35.81932,35.91318,308.43,4.47,1.94,2025-07-04,0134,Aqua,MODIS,74,6.1NRT,291.1,80.88,N
35.80781,35.95683,301.91,4.5,1.95,2025-07-04,0134,Aqua,MODIS,45,6.1NRT,290.23,48.16,N
35.81726,35.90474,300.7,4.47,1.94,2025-07-04,0134,Aqua,MODIS,26,6.1NRT,290.62,37.33,N
35.80588,35.94888,300.17,4.5,1.95,2025-07-04,0134,Aqua,MODIS,17,6.1NRT,290.11,37.29,N
35.82567,35.92017,342.78,1,1,2025-07-04,0720,Terra,MODIS,89,6.1NRT,306.05,38.37,D
35.82411,35.93091,325.71,1,1,2025-07-04,0720,Terra,MODIS,60,6.1NRT,304.77,14.21,D
35.81691,35.91829,348.35,1,1,2025-07-04,0720,Terra,MODIS,93,6.1NRT,309.84,48.48,D
35.81536,35.92902,391.41,1,1,2025-07-04,0720,Terra,MODIS,100,6.1NRT,314.32,195.46,D
35.8138,35.93977,347.56,1,1,2025-07-04,0720,Terra,MODIS,92,6.1NRT,307.93,47.9,D
33.54831,36.59596,327.1,1.04,1.02,2025-07-04,0720,Terra,MODIS,52,6.1NRT,314.04,9.28,D
35.80793,35.93682,394.05,3.14,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,316.45,1100.39,D
35.73483,35.98506,326.58,3.16,1.68,2025-07-04,1236,Aqua,MODIS,39,6.1NRT,294.97,74.22,D
35.74954,35.98198,473.71,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,319.51,5637.09,D
35.7474,35.9506,437.58,3.14,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,318.71,2910.08,D
35.76432,35.97989,426.85,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,309.88,2360.32,D
35.76214,35.94835,463.2,3.14,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,328.56,4664.71,D
35.75993,35.91645,360.17,3.13,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,311.36,380.12,D
35.73808,36.01156,317.79,3.18,1.69,2025-07-04,1236,Aqua,MODIS,27,6.1NRT,291.48,33.6,D
35.7359,35.97612,347.51,3.16,1.68,2025-07-04,1236,Aqua,MODIS,94,6.1NRT,296.53,250.29,D
35.75285,36.00872,369,3.18,1.69,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,297.08,550.28,D
35.7507,35.97417,491.83,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,327.61,7511.66,D
35.7487,35.94225,408.62,3.14,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,315.1,1562.85,D
35.76762,36.00573,336.48,3.18,1.69,2025-07-04,1236,Aqua,MODIS,88,6.1NRT,296.44,144.32,D
35.76548,35.97189,442.02,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,314.44,3201.19,D
35.76348,35.94038,442.46,3.14,1.68,2025-07-04,1236,Aqua,MODIS,94,6.1NRT,325.93,3188.87,D
35.76146,35.90864,337.46,3.13,1.68,2025-07-04,1236,Aqua,MODIS,73,6.1NRT,309.31,138.61,D
35.78251,36.00468,347.28,3.18,1.69,2025-07-04,1236,Aqua,MODIS,94,6.1NRT,299.67,249.64,D
35.78032,35.97074,408.79,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,312.29,1586.96,D
35.77836,35.94023,427.93,3.14,1.68,2025-07-04,1236,Aqua,MODIS,94,6.1NRT,319.87,2396.61,D
35.79736,36.00315,326.35,3.18,1.69,2025-07-04,1236,Aqua,MODIS,79,6.1NRT,302.27,76.96,D
35.79521,35.97009,438.52,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,315.69,2994.13,D
35.7932,35.93929,406.95,3.14,1.68,2025-07-04,1236,Aqua,MODIS,94,6.1NRT,318.92,1510.55,D
35.79092,35.90479,384.69,3.13,1.68,2025-07-04,1236,Aqua,MODIS,94,6.1NRT,313.82,847.84,D
35.81001,35.96822,384.32,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,305.16,862.45,D
35.80575,35.90415,338.05,3.13,1.68,2025-07-04,1236,Aqua,MODIS,89,6.1NRT,309.47,155.75,D
35.82478,35.96595,353.56,3.16,1.68,2025-07-04,1236,Aqua,MODIS,97,6.1NRT,303.03,322.72,D
35.82266,35.93444,421.3,3.14,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,315.22,2091.42,D
35.82051,35.90268,329.78,3.13,1.68,2025-07-04,1236,Aqua,MODIS,83,6.1NRT,307.5,92.61,D
35.80907,35.96452,377.54,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,306.79,700.65,D
35.80714,35.93257,371.75,3.14,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,315.78,582.86,D
35.82378,35.96116,374.65,3.16,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,304.27,646.39,D
35.82189,35.93018,416.24,3.14,1.68,2025-07-04,1236,Aqua,MODIS,100,6.1NRT,316.28,1870.57,D
35.81994,35.89855,326.96,3.13,1.68,2025-07-04,1236,Aqua,MODIS,70,6.1NRT,307.18,70.61,D
35.8231,37.10775,309.53,1.07,1.03,2025-07-04,1821,Terra,MODIS,78,6.1NRT,294.47,8.53,N
35.82132,37.09631,315.17,1.07,1.03,2025-07-04,1821,Terra,MODIS,91,6.1NRT,294.84,13.41,N
35.75384,35.97848,307.86,1.17,1.08,2025-07-04,1821,Terra,MODIS,33,6.1NRT,293.76,7.96,N
35.75167,35.96536,334.27,1.17,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,295.24,42.18,N
35.74956,35.95255,305.46,1.18,1.08,2025-07-04,1821,Terra,MODIS,15,6.1NRT,292.45,5.79,N
35.76111,35.96326,313.41,1.17,1.08,2025-07-04,1821,Terra,MODIS,57,6.1NRT,293.96,11.51,N
35.759,35.95041,371.28,1.18,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,298.16,149.51,N
35.75693,35.93786,335.58,1.18,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,294.33,43.38,N
35.76835,35.94776,319.71,1.18,1.08,2025-07-04,1821,Terra,MODIS,99,6.1NRT,295.51,17.73,N
35.76629,35.93525,323.27,1.18,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,294.21,22.87,N
35.78609,35.99643,312.63,1.17,1.08,2025-07-04,1821,Terra,MODIS,64,6.1NRT,294.91,11.8,N
35.77568,35.9327,308.41,1.18,1.08,2025-07-04,1821,Terra,MODIS,16,6.1NRT,294.72,6.66,N
35.79546,35.99401,332.35,1.17,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,295.85,36.83,N
35.79344,35.9816,314.01,1.17,1.08,2025-07-04,1821,Terra,MODIS,71,6.1NRT,293.86,10.6,N
35.78503,35.92994,318.27,1.18,1.08,2025-07-04,1821,Terra,MODIS,96,6.1NRT,295.6,16.14,N
35.80148,36.00013,320.25,1.17,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,294.58,21.06,N
35.79939,35.98764,327.18,1.17,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,294.78,29.52,N
35.78862,35.9235,312.5,1.18,1.08,2025-07-04,1821,Terra,MODIS,76,6.1NRT,294.58,11.58,N
35.81092,35.99818,306.77,1.17,1.08,2025-07-04,1821,Terra,MODIS,69,6.1NRT,292.32,8.29,N
35.80882,35.98562,326.95,1.17,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,294.01,30.12,N
35.82627,35.9141,325.01,1.18,1.08,2025-07-04,1821,Terra,MODIS,100,6.1NRT,295.39,27.07,N
35.81818,35.98315,319.47,1.17,1.08,2025-07-04,1821,Terra,MODIS,87,6.1NRT,292.79,19.35,N
35.81599,35.97001,320.07,1.17,1.08,2025-07-04,1821,Terra,MODIS,86,6.1NRT,294.38,19,N
35.82541,35.96786,315.33,1.17,1.08,2025-07-04,1821,Terra,MODIS,57,6.1NRT,293.28,14.66,N
35.82336,35.95549,311.3,1.17,1.08,2025-07-04,1821,Terra,MODIS,45,6.1NRT,294.03,10.58,N
35.8284,35.92688,317.11,1.18,1.08,2025-07-04,1821,Terra,MODIS,94,6.1NRT,295.08,16.72,N
35.78762,35.93633,309.86,1.1,1.04,2025-07-05,0037,Aqua,MODIS,79,6.1NRT,292.76,10.3,N
35.8364,35.92189,306.39,1.1,1.05,2025-07-05,0037,Aqua,MODIS,68,6.1NRT,293.84,7.61,N
35.8348,35.93401,304.41,1.1,1.04,2025-07-05,0037,Aqua,MODIS,60,6.1NRT,292.8,6.13,N
35.82885,35.90796,313.02,1.1,1.05,2025-07-05,0037,Aqua,MODIS,86,6.1NRT,293.45,12.42,N
35.82727,35.92001,325.55,1.1,1.05,2025-07-05,0037,Aqua,MODIS,100,6.1NRT,294.75,26.12,N
35.8194,35.97978,343.28,1.09,1.04,2025-07-05,0037,Aqua,MODIS,100,6.1NRT,293.38,55.45,N
35.81781,35.99188,306.36,1.09,1.04,2025-07-05,0037,Aqua,MODIS,41,6.1NRT,290.11,7.45,N
